"RMNum","longitude","latitude"
232,-106.3294479,35.61748038
231,-106.3340349,35.60552101
230,-106.3482319,35.59689882
229,-106.354318,35.58607584
228,-106.3579476,35.57405883
227,-106.3594296,35.56158262
226,-106.3608833,35.54680181
225,-106.368958,35.53449231
224,-106.3784616,35.52222318
223,-106.3882627,35.51145155
222,-106.3966914,35.50224424
221,-106.4022572,35.49108791
220,-106.4024572,35.47850303
219,-106.4099163,35.46877295
218,-106.4213818,35.45780088
217,-106.4337131,35.44991607
216,-106.4436785,35.43891463
215,-106.4494038,35.42600873
214,-106.4586644,35.41576684
213,-106.469673,35.4063115
212,-106.4755704,35.39417914
211,-106.487087,35.38532849
210,-106.5004904,35.381108
209,-106.5142644,35.37593757
208,-106.5151859,35.3629474
207,-106.5258325,35.3547566
206,-106.5393906,35.34697942
205,-106.5500416,35.33684026
204,-106.5566423,35.324819
203,-106.5593129,35.31144999
202,-106.5729506,35.3035911
201,-106.5826668,35.29220178
200,-106.5968354,35.28397474
199,-106.5979587,35.27046272
198,-106.5944183,35.25643837
197,-106.5889944,35.24333427
196,-106.5911344,35.23068706
195,-106.6024756,35.21983637
194,-106.615727,35.21041467
193,-106.6317429,35.20578254
192,-106.6428657,35.1961171
191,-106.6511085,35.18375182
190,-106.6568823,35.17032798
189,-106.6682324,35.15948835
188,-106.6763274,35.14683353
187,-106.6867902,35.13509689
186,-106.6909211,35.12127187
185,-106.6926147,35.10680479
184,-106.6882444,35.09479285
183,-106.6770268,35.084577
182,-106.6653958,35.07400539
181,-106.6585723,35.06172723
180,-106.6623869,35.0477946
179,-106.6717395,35.03565573
178,-106.6728171,35.02131542
177,-106.6789779,35.00924653
176,-106.6878158,34.99735203
175,-106.68744,34.98325933
174,-106.6887039,34.96936715
173,-106.6840336,34.95563301
172,-106.6820669,34.94185875
171,-106.680167,34.92830753
170,-106.6818959,34.91525658
169,-106.6887908,34.90238938
168,-106.6988142,34.89079485
167,-106.7113374,34.88072833
166,-106.7211278,34.86900687
165,-106.7188638,34.85472515
164,-106.7149975,34.84046314
163,-106.7152787,34.82602255
162,-106.7124538,34.81180331
161,-106.7210958,34.79962299
160,-106.7260759,34.78690209
159,-106.7323025,34.77396705
158,-106.7356575,34.76070194
157,-106.7428951,34.74845897
156,-106.7419093,34.73534916
155,-106.7405729,34.72237445
154,-106.7498065,34.71101946
153,-106.7477532,34.69772153
152,-106.7426232,34.68455148
151,-106.7466259,34.67142267
150,-106.7423767,34.65887212
149,-106.7364355,34.64576194
148,-106.7449941,34.63373463
147,-106.7520572,34.62109197
146,-106.7467223,34.60742498
145,-106.7460169,34.59408511
144,-106.7591735,34.58508893
143,-106.7692113,34.57389213
142,-106.7689846,34.56049655
141,-106.7636449,34.54758637
140,-106.7704401,34.53563775
139,-106.7844467,34.5273747
138,-106.7942628,34.51753036
137,-106.7920191,34.50350362
136,-106.7974145,34.49017384
135,-106.8034553,34.47691237
134,-106.8002773,34.46352291
133,-106.80242,34.45064912
132,-106.8022864,34.43691196
131,-106.8000704,34.42284946
130,-106.8040677,34.40898756
129,-106.8162769,34.39830466
128,-106.8283556,34.38803856
127,-106.8353219,34.37685
126,-106.845808,34.36502523
125,-106.8546452,34.3514649
124,-106.8603614,34.33743223
123,-106.8556655,34.32277139
122,-106.850945,34.30843206
121,-106.8431751,34.29522919
120,-106.8412361,34.28114203
119,-106.8576385,34.27429349
118,-106.8617198,34.26054066
117,-106.8734605,34.25855357
116,-106.8902388,34.25604144
115,-106.8987432,34.24700975
114,-106.8987643,34.23594998
113,-106.8942423,34.22440535
112,-106.8862631,34.21515507
111,-106.8881537,34.2038681
110,-106.8860195,34.1923662
109,-106.8842541,34.17975393
108,-106.885648,34.16853118
107,-106.8831366,34.1561398
106,-106.878605,34.14385943
105,-106.8834036,34.13193032
104,-106.8868777,34.11934766
103,-106.8821828,34.10683319
102,-106.8770592,34.0947941
101,-106.8688445,34.08474387
100,-106.8703315,34.07340677
99,-106.8750957,34.06111659
98,-106.8677483,34.04996307
97,-106.8647685,34.0381936
96,-106.863708,34.02605785
95,-106.8651827,34.01429209
94,-106.8707251,34.00242502
93,-106.8622899,33.99163615
92,-106.8598867,33.9792975
91,-106.8586278,33.96659713
90,-106.8503435,33.95568841
