"site_no","longitude","latitude"
"08313000",-106.1424444,35.8745
"08317400",-106.3239444,35.618
"08319000",-106.4398333,35.4445833
"08329918",-106.6427778,35.1977222
"08329928",-106.6519444,35.182
"08330000",-106.6806944,35.08916667
"08330875",-106.6802778,34.94666667
"08331160",-106.72,34.87055556
"08331510",-106.7630556,34.545
"08332010",-106.800581,34.4170091
"08354900",-106.8908333,34.25638889
