$`08330000_100`
    RM year  site_no discharge_sum Year Sum_days_rm_dry RMNum longitude latitude
1  100 2009 08330000      299402.0 2009               0   100 -106.8703 34.07341
2  100 2006 08330000      148159.0 2006               0   100 -106.8703 34.07341
3  100 2005 08330000      463504.0 2005               0   100 -106.8703 34.07341
4  100 2014 08330000      124008.0 2014               0   100 -106.8703 34.07341
5  100 2008 08330000      405263.0 2008               0   100 -106.8703 34.07341
6  100 2011 08330000      120475.0 2011               5   100 -106.8703 34.07341
7  100 2016 08330000      193837.0 2016               0   100 -106.8703 34.07341
8  100 2018 08330000       82782.8 2018               0   100 -106.8703 34.07341
9  100 2013 08330000      119002.7 2013               0   100 -106.8703 34.07341
10 100 2015 08330000      196660.0 2015               0   100 -106.8703 34.07341
11 100 2017 08330000      370638.0 2017               0   100 -106.8703 34.07341
12 100 2003 08330000       90746.0 2003               1   100 -106.8703 34.07341
13 100 2012 08330000      107134.0 2012              45   100 -106.8703 34.07341
14 100 2010 08330000      279791.0 2010               0   100 -106.8703 34.07341
15 100 2007 08330000      209867.0 2007               0   100 -106.8703 34.07341
16 100 2004 08330000      161772.0 2004              29   100 -106.8703 34.07341
   X08330000
1      south
2      south
3      south
4      south
5      south
6      south
7      south
8      south
9      south
10     south
11     south
12     south
13     south
14     south
15     south
16     south

$`08313000_100`
    RM year  site_no discharge_sum Year Sum_days_rm_dry RMNum longitude latitude
1  100 2008 08313000        482767 2008               0   100 -106.8703 34.07341
2  100 2016 08313000        283277 2016               0   100 -106.8703 34.07341
3  100 2018 08313000        168692 2018               0   100 -106.8703 34.07341
4  100 2004 08313000        228411 2004              29   100 -106.8703 34.07341
5  100 2011 08313000        211338 2011               5   100 -106.8703 34.07341
6  100 2005 08313000        527681 2005               0   100 -106.8703 34.07341
7  100 2012 08313000        208631 2012              45   100 -106.8703 34.07341
8  100 2014 08313000        220387 2014               0   100 -106.8703 34.07341
9  100 2010 08313000        378102 2010               0   100 -106.8703 34.07341
10 100 2013 08313000        178249 2013               0   100 -106.8703 34.07341
11 100 2007 08313000        280972 2007               0   100 -106.8703 34.07341
12 100 2017 08313000        456827 2017               0   100 -106.8703 34.07341
13 100 2003 08313000        176508 2003               1   100 -106.8703 34.07341
14 100 2015 08313000        279697 2015               0   100 -106.8703 34.07341
15 100 2009 08313000        383774 2009               0   100 -106.8703 34.07341
16 100 2006 08313000        209728 2006               0   100 -106.8703 34.07341
   X08313000
1      south
2      south
3      south
4      south
5      south
6      south
7      south
8      south
9      south
10     south
11     south
12     south
13     south
14     south
15     south
16     south

$`08319000_100`
    RM year  site_no discharge_sum Year Sum_days_rm_dry RMNum longitude latitude
1  100 2009 08319000        369936 2009               0   100 -106.8703 34.07341
2  100 2017 08319000        448128 2017               0   100 -106.8703 34.07341
3  100 2006 08319000        200232 2006               0   100 -106.8703 34.07341
4  100 2008 08319000        436009 2008               0   100 -106.8703 34.07341
5  100 2004 08319000        214643 2004              29   100 -106.8703 34.07341
6  100 2014 08319000        199067 2014               0   100 -106.8703 34.07341
7  100 2007 08319000        258113 2007               0   100 -106.8703 34.07341
8  100 2016 08319000        270626 2016               0   100 -106.8703 34.07341
9  100 2018 08319000        150212 2018               0   100 -106.8703 34.07341
10 100 2013 08319000        170389 2013               0   100 -106.8703 34.07341
11 100 2010 08319000        349744 2010               0   100 -106.8703 34.07341
12 100 2005 08319000        512981 2005               0   100 -106.8703 34.07341
13 100 2011 08319000        214493 2011               5   100 -106.8703 34.07341
14 100 2012 08319000        189871 2012              45   100 -106.8703 34.07341
15 100 2003 08319000        153040 2003               1   100 -106.8703 34.07341
16 100 2015 08319000        258376 2015               0   100 -106.8703 34.07341
   X08319000
1      south
2      south
3      south
4      south
5      south
6      south
7      south
8      south
9      south
10     south
11     south
12     south
13     south
14     south
15     south
16     south

$`08329918_100`
    RM year  site_no discharge_sum Year Sum_days_rm_dry RMNum longitude latitude
1  100 2011 08329918        140074 2011               5   100 -106.8703 34.07341
2  100 2010 08329918        299849 2010               0   100 -106.8703 34.07341
3  100 2012 08329918        131069 2012              45   100 -106.8703 34.07341
4  100 2018 08329918        109050 2018               0   100 -106.8703 34.07341
5  100 2007 08329918        222841 2007               0   100 -106.8703 34.07341
6  100 2016 08329918        232712 2016               0   100 -106.8703 34.07341
7  100 2008 08329918        422477 2008               0   100 -106.8703 34.07341
8  100 2006 08329918        152526 2006               0   100 -106.8703 34.07341
9  100 2005 08329918         16316 2005               0   100 -106.8703 34.07341
10 100 2014 08329918        159507 2014               0   100 -106.8703 34.07341
11 100 2017 08329918        398897 2017               0   100 -106.8703 34.07341
12 100 2013 08329918        144196 2013               0   100 -106.8703 34.07341
13 100 2015 08329918        221762 2015               0   100 -106.8703 34.07341
14 100 2004 08329918        173267 2004              29   100 -106.8703 34.07341
15 100 2003 08329918         43635 2003               1   100 -106.8703 34.07341
16 100 2009 08329918        307729 2009               0   100 -106.8703 34.07341
   X08329918
1      south
2      south
3      south
4      south
5      south
6      south
7      south
8      south
9      south
10     south
11     south
12     south
13     south
14     south
15     south
16     south

$`08329928_100`
    RM year  site_no discharge_sum Year Sum_days_rm_dry RMNum longitude latitude
