"","gauge_RM","gauge","RM","deviance","distance"
"217","08329918_138","08329918","138",107.106253195758,76972.5915691324
"218","08329918_151","08329918","151",328.581757068947,59348.96067317
"219","08329918_152","08329918","152",463.702277873561,57847.9171714663
"220","08329918_153","08329918","153",475.008215088526,56477.9871260861
"221","08329918_154","08329918","154",471.437421708632,55052.4718373193
"222","08329918_155","08329918","155",533.913425836562,53662.3590174679
"223","08329918_156","08329918","156",506.851628846715,52259.5137120149
"224","08329918_157","08329918","157",508.003958901138,50838.7277253511
"225","08329918_158","08329918","158",545.429072858528,49380.9722946847
"226","08329918_159","08329918","159",536.667749228138,47873.6135322706
"227","08329918_160","08329918","160",507.297698040079,46358.9001274558
"228","08329918_161","08329918","161",497.800241596331,44887.9685353169
"229","08329918_162","08329918","162",522.179993995388,43427.5243409654
"230","08329918_163","08329918","163",469.578583637551,41902.0906520693
"231","08329918_164","08329918","164",391.660194310222,40311.207240422
"232","08329918_165","08329918","165",223.708061988469,38807.0965781604
"233","08329918_57","08329918","57",4.43256695552987,188048.420734261
"234","08329918_60","08329918","60",23.1336943808138,183202.258810051
"235","08329918_61","08329918","61",7.19635743830677,182301.124312258
"236","08329918_62","08329918","62",12.6455379843214,181191.054379424
"237","08329918_63","08329918","63",79.3742531793743,179981.587840976
"238","08329918_64","08329918","64",79.3742531793743,178519.54437148
"239","08329918_65","08329918","65",71.8027700709048,177126.472994204
"240","08329918_66","08329918","66",72.0830124678646,175519.048317708
"241","08329918_67","08329918","67",72.0830124678646,174306.533739325
"242","08329918_68","08329918","68",68.3944014700063,172746.575276809
"243","08329918_69","08329918","69",63.5892390881975,171437.506639249
"244","08329918_70","08329918","70",63.9460955571002,171328.274714901
"245","08329918_71","08329918","71",63.9460955571002,170596.198701098
"246","08329918_73","08329918","73",446.770322832206,167245.304109298
"247","08329918_74","08329918","74",414.896625855611,165721.610534456
"248","08329918_75","08329918","75",414.269253851855,163952.015616622
"249","08329918_76","08329918","76",500.826611069337,162433.656276026
"250","08329918_77","08329918","77",509.919157470213,160689.303651743
"251","08329918_78","08329918","78",503.174705633755,159244.565524891
"252","08329918_79","08329918","79",508.678906084376,157717.392683376
"253","08329918_80","08329918","80",506.041013363689,156038.368509481
"254","08329918_81","08329918","81",507.278093376871,154485.077221021
"255","08329918_82","08329918","82",495.131200387205,152655.202233277
"256","08329918_83","08329918","83",514.027729693155,150946.490241268
"257","08329918_84","08329918","84",447.118423963553,149168.627228732
"258","08329918_85","08329918","85",415.462673649656,147356.185376702
"259","08329918_86","08329918","86",402.29101430224,145587.02930452
"260","08329918_87","08329918","87",396.333927351748,143808.088537199
"261","08329918_88","08329918","88",372.508484557169,142321.096045859
"262","08329918_89","08329918","89",361.778946277106,140881.152214483
"263","08329918_90","08329918","90",341.807590127593,139565.206701682
"264","08329918_91","08329918","91",363.49171503258,138468.541448983
"265","08329918_92","08329918","92",377.011383823336,137085.873794483
"266","08329918_93","08329918","93",376.43213144289,135759.269513554
"267","08329918_94","08329918","94",330.603489486827,134689.123908651
"268","08329918_95","08329918","95",356.003496167993,133305.428826592
"269","08329918_96","08329918","96",386.494360647782,131990.208974037
"270","08329918_97","08329918","97",365.114856051981,130670.263698748
"271","08329918_98","08329918","98",377.869694412717,129419.174425743
"272","08329918_99","08329918","99",342.557557331952,128303.240720052
"273","08329928_100","08329928","100",247.411000201248,125018.748386376
"274","08329928_101","08329928","101",182.579601436706,123750.977513067
"275","08329928_102","08329928","102",178.230447348901,122770.740843466
"276","08329928_103","08329928","103",172.516856512793,121530.072811413
"277","08329928_104","08329928","104",167.030190532381,120234.242765523
"278","08329928_105","08329928","105",136.095796781904,118798.961703021
"279","08329928_132","08329928","132",153.526654017869,84073.330221399
"280","08329928_133","08329928","133",370.34813424418,82566.9012830326
"281","08329928_134","08329928","134",364.087518400779,81121.0369397967
"282","08329928_135","08329928","135",354.757069697584,79701.6170391223
"283","08329928_136","08329928","136",328.883082125689,78152.2645701037
"284","08329928_137","08329928","137",264.392491778908,76606.3615142327
"285","08329928_138","08329928","138",92.139072959141,75102.3340574725
"286","08329928_151","08329928","151",271.725884444091,57490.3697751698
"287","08329928_152","08329928","152",366.501570167232,55990.6514673868
"288","08329928_153","08329928","153",370.406136188308,54613.9838881629
"289","08329928_154","08329928","154",366.927723577483,53184.304877909
"290","08329928_155","08329928","155",446.840779293975,51800.3604241515
"291","08329928_156","08329928","156",428.987167328244,50393.8468116567
"292","08329928_157","08329928","157",438.801554251543,48969.5807042334
"293","08329928_158","08329928","158",488.601527078053,47516.2985820603
"294","08329928_159","08329928","159",481.566332271177,46009.5953986929
"295","08329928_160","08329928","160",447.246422560364,44498.7387754097
"296","08329928_161","08329928","161",432.691548120138,43030.6471074458
"297","08329928_162","08329928","162",449.163776994394,41577.8792904165
"298","08329928_163","08329928","163",405.227224853482,40045.8214266493
"299","08329928_164","08329928","164",341.436443573147,38451.8864452459
"300","08329928_165","08329928","165",191.938614058854,36939.3530812901
"301","08329928_57","08329928","57",56.8812066257304,186160.489684018
"302","08329928_60","08329928","60",81.8744808279052,181316.833580027
"303","08329928_61","08329928","61",59.303318432126,180418.432527803
"304","08329928_62","08329928","62",54.0102441878086,179311.18736255
"305","08329928_63","08329928","63",143.386026179979,178104.077801823
"306","08329928_64","08329928","64",143.386026179978,176644.266916621
"307","08329928_65","08329928","65",127.555355322323,175253.368650086
"308","08329928_66","08329928","66",124.004426900082,173646.409953481
"309","08329928_67","08329928","67",124.004426900082,172430.827148361
"310","08329928_68","08329928","68",115.923678036921,170869.612754799
"311","08329928_69","08329928","69",104.075346040448,169563.822015296
"312","08329928_70","08329928","70",100.280286307797,169460.009200929
"313","08329928_71","08329928","71",100.280286307797,168733.076598488
"314","08329928_73","08329928","73",454.028877110636,165387.65395362
"315","08329928_74","08329928","74",378.387166649602,163867.230541139
"316","08329928_75","08329928","75",379.32388533301,162099.951496069
"317","08329928_76","08329928","76",467.45537855571,160585.688969418
"318","08329928_77","08329928","77",475.071035242828,158844.097054831
"319","08329928_78","08329928","78",465.106329626883,157399.984515643
"320","08329928_79","08329928","79",472.38205971535,155873.660230909
"321","08329928_80","08329928","80",470.516441307592,154197.884849603
"322","08329928_81","08329928","81",471.163744559612,152646.459489586
"323","08329928_82","08329928","82",453.404833574592,150815.624936734
"324","08329928_83","08329928","83",468.186115748454,149107.935656911
"325","08329928_84","08329928","84",398.486429713718,147327.901597812
"326","08329928_85","08329928","85",363.202013938617,145515.473038802
"327","08329928_86","08329928","86",346.993376722844,143743.84929455
"328","08329928_87","08329928","87",342.469440629966,141963.174421046
"329","08329928_88","08329928","88",327.414068943681,140475.821694742
"330","08329928_89","08329928","89",322.42143522302,139035.01811264
"331","08329928_90","08329928","90",310.928626980531,137718.346418016
"332","08329928_91","08329928","91",322.469009249616,136617.778847248
"333","08329928_92","08329928","92",314.946688443804,135233.790427987
"334","08329928_93","08329928","93",297.432035433283,133905.432640321
"335","08329928_94","08329928","94",267.404098461754,132831.327152563
"336","08329928_95","08329928","95",280.385487428854,131448.913242965
"337","08329928_96","08329928","96",303.557304071618,130133.431318658
"338","08329928_97","08329928","97",300.818110920977,128812.203164119
"339","08329928_98","08329928","98",324.453365370012,127559.096217925
"340","08329928_99","08329928","99",300.628584199622,126439.501632136
"341","08330000_100","08330000","100",234.728764438316,114401.775575704
"342","08330000_101","08330000","101",175.921027133171,113133.517205765
"343","08330000_102","08330000","102",172.849066042922,112146.093169963
"344","08330000_103","08330000","103",167.589968560604,110900.462251907
"345","08330000_104","08330000","104",162.542749074371,109600.137647483
"346","08330000_105","08330000","105",133.180941913387,108165.325576007
"347","08330000_132","08330000","132",146.061159431698,73455.1710857795
"348","08330000_133","08330000","133",333.386877938133,71945.6997415888
"349","08330000_134","08330000","134",328.563219312322,70499.4121076908
"350","08330000_135","08330000","135",319.137791538449,69073.8043066235
"351","08330000_136","08330000","136",296.526641287563,67527.9755550173
"352","08330000_137","08330000","137",237.970600093331,65985.1693712872
"353","08330000_138","08330000","138",82.8240765887508,64475.4169102167
"354","08330000_151","08330000","151",242.453318416589,46891.2000306914
"355","08330000_152","08330000","152",341.205613894537,45395.1518694175
"356","08330000_153","08330000","153",343.528457378448,44003.5366306513
"357","08330000_154","08330000","154",339.287987987102,42565.4310797715
"358","08330000_155","08330000","155",423.311324940369,41195.418579719
"359","08330000_156","08330000","156",407.791684685239,39781.2083485132
"360","08330000_157","08330000","157",419.669881687739,38350.0017506018
"361","08330000_158","08330000","158",472.675710491829,36907.0475831367
"362","08330000_159","08330000","159",465.687657181051,35402.5634550571
"363","08330000_160","08330000","160",427.953603774919,33901.8374077199
"364","08330000_161","08330000","161",409.065133965099,32442.0018690332
"365","08330000_162","08330000","162",413.407350871839,31011.6341579276
"366","08330000_163","08330000","163",373.12708400177,29462.5142204118
"367","08330000_164","08330000","164",315.488828632576,27861.8477706075
"368","08330000_165","08330000","165",174.034254614211,26329.139913637
"369","08330000_57","08330000","57",53.6823681811408,175506.637772292
"370","08330000_60","08330000","60",80.2814144640719,170665.370068647
"371","08330000_61","08330000","61",56.5962545856484,169769.891144121
"372","08330000_62","08330000","62",52.367786849187,168666.011995979
"373","08330000_63","08330000","63",143.326367618192,167461.965600125
"374","08330000_64","08330000","64",143.326367618192,166005.260145964
"375","08330000_65","08330000","65",127.575903681484,164617.562696341
"376","08330000_66","08330000","66",124.111483698955,163011.333032356
"377","08330000_67","08330000","67",124.111483698955,161791.268318283
"378","08330000_68","08330000","68",116.08122646261,160228.329550207
"379","08330000_69","08330000","69",104.128299311047,158927.236663045
"380","08330000_70","08330000","70",100.366273472133,158831.977918971
"381","08330000_71","08330000","71",100.366273472133,158114.029783102
"382","08330000_73","08330000","73",454.331837950442,154779.070444101
"383","08330000_74","08330000","74",364.170416215082,153265.270914791
"384","08330000_75","08330000","75",365.362720936507,151502.873819952
"385","08330000_76","08330000","76",455.461204943651,149997.499925278
"386","08330000_77","08330000","77",463.206316853273,148262.149219713
"387","08330000_78","08330000","78",452.663247884723,146819.53021396
"388","08330000_79","08330000","79",460.596080957519,145295.22692006
"389","08330000_80","08330000","80",458.090089408002,143627.110502552
"390","08330000_81","08330000","81",457.87083493206,142080.222825781
"391","08330000_82","08330000","82",438.31985687946,140247.214374633
"392","08330000_83","08330000","83",451.106657104884,138542.08791326
"393","08330000_84","08330000","84",380.923736141663,136756.995728066
"394","08330000_85","08330000","85",346.782970922684,134944.721956851
"395","08330000_86","08330000","86",329.655041086776,133167.427568281
"396","08330000_87","08330000","87",324.759850538957,131382.868971583
"397","08330000_88","08330000","88",311.214696644172,129894.789921326
"398","08330000_89","08330000","89",306.194615151017,128452.123103578
"399","08330000_90","08330000","90",295.226163256536,127133.894732705
"400","08330000_91","08330000","91",304.227367486742,126024.749885318
"401","08330000_92","08330000","92",292.730629944182,124637.992873628
"402","08330000_93","08330000","93",269.26641236818,123305.985736848
"403","08330000_94","08330000","94",244.420222754492,122223.789303844
"404","08330000_95","08330000","95",248.493440737841,120844.046120448
"405","08330000_96","08330000","96",265.782091548286,119528.102377669
"406","08330000_97","08330000","97",272.463147238908,118204.350101817
"407","08330000_98","08330000","98",300.867882067157,116947.307515831
"408","08330000_99","08330000","99",282.464076281086,115820.782036028
"409","08330875_100","08330875","100",238.830633128999,98761.6705911958
"410","08330875_101","08330875","101",177.850232718303,97495.2040166555
"411","08330875_102","08330875","102",174.330275418269,96532.2033976175
"412","08330875_103","08330875","103",168.908762691791,95305.9112069279
"413","08330875_104","08330875","104",163.705550161839,94025.2760574896
"414","08330875_105","08330875","105",133.848382070108,92588.8402142611
"415","08330875_132","08330875","132",148.843294270929,57834.0401519894
"416","08330875_133","08330875","133",348.100587968818,56336.6214973884
"417","08330875_134","08330875","134",342.543075212599,54893.0090965674
"418","08330875_135","08330875","135",333.246966605656,53493.8026465272
"419","08330875_136","08330875","136",309.273869297431,51934.5413877633
"420","08330875_137","08330875","137",248.423389800223,50380.8814634643
"421","08330875_138","08330875","138",86.5111491695231,48896.1295815106
"422","08330875_151","08330875","151",250.333511619751,31234.3623827409
"423","08330875_152","08330875","152",341.846843957105,29729.6586103986
"424","08330875_153","08330875","153",342.717170699513,28390.1793218864
"425","08330875_154","08330875","154",339.149408907503,26990.5521475598
"426","08330875_155","08330875","155",424.719849539349,25568.6851964648
"427","08330875_156","08330875","156",411.228280698242,24188.3114647232
"428","08330875_157","08330875","157",424.958551099085,22793.888290082
"429","08330875_158","08330875","158",478.83045545409,21310.6787683547
"430","08330875_159","08330875","159",471.679613597492,19803.4481987316
"431","08330875_160","08330875","160",434.589795221322,18270.2105795201
"432","08330875_161","08330875","161",417.138248968964,16787.9542870985
"433","08330875_162","08330875","162",425.872210456392,15297.7718950418
"434","08330875_163","08330875","163",384.406708711439,13805.1045302336
"435","08330875_164","08330875","164",324.741578454434,12240.1671006798
"436","08330875_165","08330875","165",180.759039208607,10824.1929019592
"437","08330875_57","08330875","57",51.8478008569666,160041.170622233
"438","08330875_60","08330875","60",79.3215869438224,155178.753614292
"439","08330875_61","08330875","61",55.0755568172117,154260.72603833
"440","08330875_62","08330875","62",50.7231132196714,153134.800667504
"441","08330875_63","08330875","63",143.232550201005,151913.280899694
"442","08330875_64","08330875","64",143.232550201005,150440.751173111
"443","08330875_65","08330875","65",127.571503202146,149038.262695365
"444","08330875_66","08330875","66",124.181615563006,147429.031422774
"445","08330875_67","08330875","67",124.181615563006,146230.152498532
"446","08330875_68","08330875","68",116.180561777642,144676.375938187
"447","08330875_69","08330875","69",104.198669408212,143352.311603245
"448","08330875_70","08330875","70",100.483658347932,143221.915546019
"449","08330875_71","08330875","71",100.483658347932,142473.821409059
"450","08330875_73","08330875","73",453.451860779306,139109.829304906
"451","08330875_74","08330875","74",365.09644182507,137580.00022579
"452","08330875_75","08330875","75",366.124444576908,135806.805262789
"453","08330875_76","08330875","76",457.153917298066,134283.448142662
"454","08330875_77","08330875","77",464.679669037923,132536.706507746
"455","08330875_78","08330875","78",454.157942997355,131091.539390467
"456","08330875_79","08330875","79",461.772739445435,129563.839075229
"457","08330875_80","08330875","80",459.565518616886,127883.392535789
"458","08330875_81","08330875","81",459.796170928141,126329.725494295
"459","08330875_82","08330875","82",440.64945557534,124500.009807774
"460","08330875_83","08330875","83",454.234395514626,122791.134915358
"461","08330875_84","08330875","84",382.695107438233,121013.746582634
"462","08330875_85","08330875","85",347.816897818964,119201.307001096
"463","08330875_86","08330875","86",330.879828692241,117433.244430198
"464","08330875_87","08330875","87",326.365723849046,115655.443560654
"465","08330875_88","08330875","88",312.880054152947,114168.740823819
"466","08330875_89","08330875","89",308.120308036348,112729.522795344
"467","08330875_90","08330875","90",297.499807239754,111414.256632312
"468","08330875_91","08330875","91",306.440933645051,110322.134950714
"469","08330875_92","08330875","92",294.675556090091,108941.427214347
"470","08330875_93","08330875","93",272.664566249579,107617.737569221
"471","08330875_94","08330875","94",247.122101501522,106555.496945282
"472","08330875_95","08330875","95",256.79629540446,105169.124447099
"473","08330875_96","08330875","96",276.364468654643,103854.530738884
"474","08330875_97","08330875","97",281.714217656741,102537.494324457
"475","08330875_98","08330875","98",309.02603430501,101291.388749579
